,orgA_id,orgB_id,ks,pval,orgA_label,orgB_label,correct
1027,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,cd01533ae6ad0a6ac3a6c7d66aaa89b2776a0541be24352e1e421c3bfcf6b467,0.17449411054062217,5.924870802797524e-20,0,12,False
527,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,87dd7911a92aec2f4295ae0b154e76fda1f747144724f0e0f21200038c43d405,0.1768175623195627,7.684717756680232e-14,4,3,False
899,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,cd01533ae6ad0a6ac3a6c7d66aaa89b2776a0541be24352e1e421c3bfcf6b467,0.17865441520504813,6.042592231439342e-22,3,12,False
1008,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,0.1811881168230846,4.3330158062895173e-29,3,5,False
647,77824301fdc0ecc7a7920d327612e967768c585a9a687a5f830ab2c572ef375e,4266703c597aba236d63a369c11638b36c134cced513ffd2c60930a6e9e66bef,0.1841571905154787,5.701372793748929e-16,2,0,False
1738,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,fef3b4e0bc9e8a76779b5e341d6e11ba916c24e149fee3e049e92907a88e7ad9,0.18495561536661206,2.0268306591149203e-32,5,0,False
714,77824301fdc0ecc7a7920d327612e967768c585a9a687a5f830ab2c572ef375e,fef3b4e0bc9e8a76779b5e341d6e11ba916c24e149fee3e049e92907a88e7ad9,0.1860096870342772,4.0595612149083056e-16,2,0,False
1671,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,4266703c597aba236d63a369c11638b36c134cced513ffd2c60930a6e9e66bef,0.1878930823936912,3.28029747845524e-34,5,0,False
1732,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,01c18f7319e372ba2c7d0d7fd13768f9fcf96fbd3d618fd26dba91e4f2bdbdb4,0.1883211306307547,3.1144507337845487e-34,5,0,False
3,c254ff70dd51e6a0b3c117a631a30a23ba2f7a56a81872909c3b35f2b2827dd8,cd01533ae6ad0a6ac3a6c7d66aaa89b2776a0541be24352e1e421c3bfcf6b467,0.18896858031943606,4.527672373056873e-10,13,12,False
1155,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,cd01533ae6ad0a6ac3a6c7d66aaa89b2776a0541be24352e1e421c3bfcf6b467,0.19325681536942366,9.653003139166184e-26,1,12,False
496,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,0.19464782421224394,1.4370294596210045e-30,12,5,False
1673,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,d688c15b16c89a5f89783fbb4f8cd95d4e46be67e46a17af6ac55f14eca3198a,0.1962686505035091,4.431029347868641e-33,5,4,False
399,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,87dd7911a92aec2f4295ae0b154e76fda1f747144724f0e0f21200038c43d405,0.19895972155731237,4.2805162450546254e-18,12,3,False
1578,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,e7430e901370dfe1261df560c6a25570a228eeeb7df0670082aab87fabe61ffe,0.2008345255126371,7.104578941414294e-09,14,13,False
1551,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,87dd7911a92aec2f4295ae0b154e76fda1f747144724f0e0f21200038c43d405,0.20129782878460942,4.19809825354178e-13,14,3,False
682,77824301fdc0ecc7a7920d327612e967768c585a9a687a5f830ab2c572ef375e,e7430e901370dfe1261df560c6a25570a228eeeb7df0670082aab87fabe61ffe,0.20355191256830601,3.0690289579599997e-09,2,13,False
